"Id","sulphates","total.sulfur.dioxide","free.sulfur.dioxide","density","citric.acid","fixed.acidity","volatile.acidity","chlorides","alcohol","residual.sugar","pH"
1251,0.47,140,42,0.9932,0.49,7.5,0.19,0.047,10.7,1.6,3.4
1252,0.4,206,61,0.9957,0.49,6.9,0.34,0.045,9,7.3,3.09
1253,0.32,87,28,0.9919,0.49,7.8,0.26,0.027,11.3,3.2,3.03
1254,0.34,131,17,0.9956,0.49,8.9,0.32,0.05,9.4,1.6,3.13
1255,0.35,108,14,0.9928,0.49,8.2,0.2,0.057,11.5,3.5,3.19
1256,0.35,108,14,0.9928,0.49,8.2,0.2,0.057,11.5,3.5,3.19
1257,0.58,111,28,0.9926,0.49,7.1,0.28,0.041,12.2,6.5,3.41
1258,0.38,110,15,0.9938,0.49,7.4,0.19,0.037,11,6.7,3.2
1259,0.52,228,50,1.0001,0.49,8.3,0.25,0.048,9.2,16.8,3.03
1260,0.33,149,29,0.9952,0.49,7.8,0.49,0.043,10,7,3.21
1261,0.39,105,26,0.993,0.49,7.9,0.22,0.042,10.5,3.8,3.1
1262,0.36,134,50,0.9998,0.49,7.3,0.19,0.058,9.1,15.55,3.42
1263,0.52,166,39,0.9965,0.49,6.9,0.26,0.058,9.4,1.6,3.65
1264,0.36,118,29,0.9928,0.49,8.2,0.29,0.044,10.9,1,3.24
1265,0.59,142,27,0.9936,0.49,7.8,0.28,0.046,10.2,1.3,3.09
1266,0.42,114,30,0.9914,0.49,6.7,0.21,0.047,10.8,1.4,2.92
1267,0.38,176,35,1.0103,0.28,7.9,0.33,0.053,8.8,31.6,3.15
1268,0.58,177,32,1.0004,0.46,8.1,0.28,0.059,9,15.4,3.27
1269,0.51,128,33,0.9927,0.34,8.8,0.39,0.055,11.8,5.9,2.95
1270,0.56,160,33,0.9963,0.18,7.8,0.24,0.046,9.8,6.7,3.2
1271,0.42,87,27,0.9936,0.3,7,0.35,0.028,11.4,6.5,3.4
1272,0.38,163,35,0.9951,0.31,6.6,0.27,0.137,9.3,5.3,3.2
1273,0.44,188,82,0.9955,0.29,6.8,0.22,0.046,10.3,8.9,3.3
1274,0.42,87,27,0.9936,0.3,7,0.35,0.028,11.4,6.5,3.4
1275,0.45,170,42,0.9944,0.2,6.2,0.3,0.045,10.4,6.6,3.36
1276,0.43,117,18,0.9944,0.2,6.4,0.35,0.034,10.1,5.7,3.33
1277,0.38,205,55,0.9986,0.28,7.2,0.25,0.055,9,14.4,3.12
1278,0.44,195,41.5,1,0.33,7.3,0.26,0.049,9.1,17.85,3.06
1279,0.63,216,118.5,0.9949,0.26,6.7,0.25,0.041,9.4,1.55,3.55
1280,0.38,205,55,0.9986,0.28,7.2,0.25,0.055,9,14.4,3.12
1281,0.4,132,35,0.9928,0.33,7.2,0.21,0.036,11,3,3.25
1282,0.31,190,47,0.9982,0.36,8.5,0.32,0.041,10,14.9,3.08
1283,0.37,190,39,0.9914,0.3,6.9,0.18,0.038,12.2,2,3.32
1284,0.47,127,32,0.9921,0.31,6.6,0.25,0.035,11.3,1.5,3.41
1285,0.55,157,38,0.9934,0.22,6.4,0.24,0.038,9.9,1.5,3.41
1286,0.6,161,25,0.9946,0.26,7,0.61,0.051,10.6,1.7,3.36
1287,0.51,178,25,0.995,0.37,7.9,0.18,0.061,10,3,3.22
1288,0.48,116,35,0.9953,0.24,6.8,0.3,0.123,9.4,6.6,3.07
1289,0.59,148,43,0.9912,0.34,6.5,0.18,0.04,11.5,1.6,3.32
1290,0.43,142,19,0.9921,0.32,6.8,0.27,0.044,9.9,1.5,3.1
1291,0.45,190,24,0.995,0.48,8.2,0.15,0.052,10.9,2.7,3.5
1292,0.38,148,33,0.9977,1,7.5,0.4,0.041,12,19.5,3.24
1293,0.44,97,28,0.9924,0.32,7,0.3,0.034,11.8,6.4,3.23
1294,0.36,212,68,0.9986,0.44,7.6,0.445,0.045,10,14.5,3.48
1295,0.48,116,35,0.9953,0.24,6.8,0.3,0.123,9.4,6.6,3.07
1296,0.68,138,45,0.9939,0.33,7.5,0.22,0.036,11.4,6.7,3.2
1297,0.32,111,48,0.9906,0.04,6.6,0.545,0.031,11.9,2.5,3.14
1298,0.42,104,15,0.9948,0.23,6.1,0.22,0.052,8.7,3.1,3.14
1299,0.38,185,50,0.9978,0.3,6.9,0.16,0.057,9.6,9.6,3.39
1300,0.45,150,23,0.9954,0.47,6.6,0.37,0.061,9.6,6.5,3.14
1301,0.51,169,33,0.9982,0.36,8.3,0.3,0.042,9.3,10,3.23
1302,0.48,238,46,0.9977,0.31,6.1,0.34,0.053,8.6,12,3.16
1303,0.42,102,20,0.9929,0.24,8,0.27,0.044,10.9,1.2,3.28
1304,0.57,174,44,0.9966,0.3,7.4,0.18,0.045,9.7,10.4,3.11
1305,0.43,93,33,0.9914,0.28,6.4,0.16,0.042,11.1,2.2,3.31
1306,0.35,142,47,0.99705,0.23,6.3,0.25,0.039,9.7,14.9,3.14
1307,0.51,124,31,0.9948,0.28,8,0.3,0.044,10.2,5.7,3.16
1308,0.42,98,20,0.9916,0.27,6.4,0.17,0.037,11,1.5,3.46
1309,0.5,112,18,0.997,0.3,7.3,0.21,0.037,9.6,10.9,3.4
1310,0.44,215,56,0.9967,0.23,6.9,0.29,0.056,8.8,8.6,3.17
1311,0.45,209,56,0.9961,0.26,6.6,0.32,0.054,8.8,7.7,3.17
1312,0.69,179,50,0.9955,0.22,7.4,0.32,0.051,8.9,1.7,3.28
1313,0.38,144,58,0.9922,0.07,6.6,0.37,0.048,10,1.4,3.17
1314,0.42,181,33,0.9955,0.26,7.8,0.39,0.059,10.9,9.9,3.04
1315,0.4,99,33,0.9924,0.28,6.9,0.19,0.054,10.8,3,3.16
1316,0.72,141,40,0.9941,0.26,6.5,0.18,0.041,9.5,1.4,3.34
1317,0.69,150,43,0.9922,0.36,6.4,0.15,0.034,11,1.8,3.42
1318,0.37,142,73,0.9945,0.26,8.5,0.21,0.034,11.4,9.25,3.05
1319,0.46,127,54,0.9932,0.29,6.7,0.24,0.038,11.6,6.8,3.33
1320,0.34,122,37,0.9939,0.29,8.2,0.36,0.035,12,7.6,3.16
1321,0.46,176,26,0.9954,0.3,9.4,0.16,0.042,9.1,1.4,3.15
1322,0.64,187,42,1.0002,0.31,7.4,0.35,0.062,9.1,17.95,3.27
1323,0.47,149,22,0.9953,0.41,6.7,0.37,0.061,9.6,6.3,3.16
1324,0.32,67,14,0.9942,0.23,9.4,0.16,0.042,9.5,1.6,3.07
1325,0.58,162,35,0.9956,0.21,6.4,0.26,0.04,9.9,7.1,3.39
1326,0.79,184,60,1.0008,0.43,8.8,0.2,0.053,8.8,15,3.28
1327,0.79,184,60,1.0008,0.43,8.8,0.2,0.053,8.8,15,3.28
1328,0.37,72,24,0.9908,0.24,5.6,0.46,0.042,12.6,4.8,3.29
1329,0.43,110,18,0.9917,0.38,7.2,0.15,0.038,11.1,1.2,3.19
1330,0.5,131,34,0.9953,0.3,6.7,0.27,0.029,12,13.9,3.36
1331,0.44,96,27,0.9896,0.29,6,0.26,0.032,12.3,1,3.38
1332,0.53,164,10,0.9912,0.35,6.8,0.3,0.038,12,2.8,3.09
1333,0.32,165,35,0.9974,0.12,6.5,0.32,0.033,9,11.5,3.22
1334,0.43,167,41,0.9948,0.24,7.7,0.44,0.031,11.3,11.2,3.12
1335,0.41,160,43,0.9949,0.3,6.4,0.21,0.044,10.6,5.6,3.6
1336,0.56,213,37,0.9988,0.42,8,0.55,0.211,9.3,12.6,2.99
1337,0.55,247,53,0.9984,0.36,6.5,0.34,0.052,9.3,11,3.44
1338,0.54,104,27,0.9954,0.23,7,0.19,0.123,9.4,5.7,3.04
1339,0.51,164,24,0.9926,0.33,6.9,0.18,0.054,10.5,1,3.42
1340,0.38,180,62,0.9966,0.58,7.6,0.26,0.041,9,7.9,3.07
1341,0.44,157,44,0.998,0.2,7.4,0.44,0.049,9,11.5,3.27
1342,0.42,189,48,0.992,0.25,7,0.24,0.042,11.4,1.7,3.25
1343,0.46,181,34,0.9968,0.42,10,0.91,0.056,10,1.6,3.11
1344,0.47,171,14,0.9946,0.34,8.9,0.33,0.056,9.7,1.4,3.13
1345,0.92,104,22,0.9924,0.31,7.3,0.13,0.054,11.5,2.3,3.24
1346,0.39,202,57,0.9958,0.3,6.6,0.28,0.049,9.5,7.8,3.24
1347,0.38,144,41,0.9932,0.27,7.4,0.21,0.031,11.8,7.3,3.15
1348,0.5,163,35,0.9924,0.21,6.3,0.19,0.049,10.3,1.8,3.31
1349,0.49,140,48,0.994,0.3,8,0.19,0.053,9.6,2,3.18
1350,0.36,103,14,0.9987,0.61,7.2,0.2,0.043,9.2,16.2,3.06
1351,0.63,213,45,0.9991,0.42,7.7,0.3,0.045,9.2,14.3,3.18
1352,0.32,107,39,0.993,0.02,7,0.53,0.036,9,1,3.2
1353,0.43,178,41,0.9988,0.41,7.3,0.24,0.05,9.7,13.6,3.37
1354,0.64,197,44,0.9989,0.41,7.6,0.33,0.045,9.1,13.7,3.18
1355,0.44,161,31,0.9952,0.44,6.8,0.35,0.056,9.5,6.5,3.14
1356,0.64,89,15,0.9976,0.41,7.2,0.31,0.053,9.9,8.6,3.29
1357,0.62,104,41,0.99,0.31,6.7,0.44,0.03,12.6,1.9,3.29
1358,0.43,166,45,0.9988,0.27,10,0.23,0.033,9.7,14.1,2.72
1359,0.49,183,26,0.9984,0.35,8.8,0.23,0.04,9.1,10.7,2.93
1360,0.55,106,25,0.9932,0.27,7.8,0.34,0.04,10.4,1.2,3.01
1361,0.49,212,73,0.9969,0.33,7.9,0.26,0.039,9.5,10.3,2.93
1362,0.41,166,53,0.9966,0.67,7.5,0.29,0.037,8.9,8.1,2.9
1363,0.42,180,54,0.9958,0.36,6.6,0.25,0.045,9.2,8.1,3.08
1364,0.74,71,20,0.9926,0.26,7.1,0.18,0.041,9.9,1.3,3.04
1365,0.46,112,20,0.9939,0.27,7.9,0.3,0.036,11.7,8.5,2.96
1366,0.5,153,21,0.9953,0.3,8.3,0.23,0.049,9.6,2.1,3.09
1367,0.37,135,27,0.9906,0.3,6.8,0.43,0.033,12,3.5,3
1368,0.59,98,26,0.9914,0.36,7.2,0.36,0.038,12.5,5.7,2.93
1369,0.42,180,54,0.9958,0.36,6.6,0.25,0.045,9.2,8.1,3.08
1370,0.66,189,56,0.9994,0.5,7.3,0.22,0.049,9,13.7,3.24
1371,0.49,158,52.5,0.9976,0.33,8.1,0.26,0.052,10.2,11.1,3.03
1372,0.39,126,40,0.9966,0.34,7.6,0.13,0.062,9.6,9.3,3.21
1373,0.4,106,6,0.993,0.36,7.6,0.26,0.032,10.4,1.6,3.15
1374,0.43,97,15,0.9931,0.58,6.3,0.2,0.204,10,1.4,3.16
1375,0.41,169,46,0.9926,0.28,7.1,0.25,0.052,10.5,1.6,3.05
1376,0.4,172,46,0.9966,0.33,8.8,0.34,0.036,10.2,9.7,3.08
1377,0.37,307.5,146.5,0.9924,0.22,7.1,0.49,0.047,11,2,3.24
1378,0.34,93,15,0.9948,0.23,9.2,0.71,0.042,10.1,6.2,2.89
1379,0.35,182,27,0.9964,0.65,7.2,0.47,0.083,9.2,8.3,3
1380,0.41,228,49,0.9974,0.34,9.2,0.27,0.043,10.4,10.5,3.04
1381,0.39,172,34,0.9938,0.27,7.3,0.13,0.08,11.1,4.6,3.23
1382,0.64,256,35,1.0001,0.57,8.3,0.36,0.052,8.6,15,2.93
1383,0.52,195,48,0.9968,0.44,6.3,0.25,0.041,9.5,11.6,3.18
1384,0.4,197,61,0.9932,0.42,6,0.45,0.051,9,1.1,3.02
1385,0.57,135,37,0.9939,0.31,7.2,0.19,0.046,10.2,1.4,3.34
1386,0.49,185,34,0.9966,0.46,9.9,1.005,0.046,10.2,1.4,3.02
1387,0.34,142,29,0.9925,0.36,8.1,0.31,0.028,13,8.2,3.01
1388,0.74,172,49,0.996,0.38,8.1,0.24,0.044,10.8,4.3,3.37
1389,0.46,219,49,0.9996,0.13,8,0.25,0.036,9.7,17.2,2.96
1390,0.4,63,16,0.9937,0.33,7.2,0.15,0.027,9.9,1.1,3.37
1391,0.57,99,11,0.9958,0.48,8.2,0.21,0.041,9.9,1.4,3.17
1392,0.38,163,50,0.9979,0.28,6.8,0.27,0.076,8.6,13.3,3.03
1393,0.35,114,13,0.9941,0.3,7.4,0.21,0.047,10.5,8.1,3.12
1394,0.79,164,49,0.9927,0.3,6.3,0.41,0.03,11.7,3.2,3.53
1395,0.79,164,49,0.9927,0.3,6.3,0.41,0.03,11.7,3.2,3.53
1396,0.39,139,33,1.0011,0.26,7.5,0.26,0.084,8.8,18.35,3.17
1397,0.55,208,35,0.9973,0.37,6.8,0.28,0.057,10.2,7,3.57
1398,0.46,184,57,0.9984,0.5,7.5,0.38,0.042,9,12.8,3.09
1399,0.46,212.5,53,0.999,0.3,7.6,0.2,0.056,8.9,14.2,3.14
1400,0.55,176,57,0.9954,0.28,8.1,0.22,0.043,10,7.7,3.12
1401,0.52,110,5,0.9939,0.27,6.4,0.43,0.054,9.1,1.1,3.24
1402,0.45,180,33,0.9926,0.22,7.4,0.3,0.053,11.6,5.25,3.13
1403,0.67,168,47,0.9994,0.33,7,0.28,0.043,8.8,14.6,3.34
1404,0.82,170,51,1.0004,0.38,8.4,0.2,0.055,8.9,11.8,3.34
1405,0.67,168,47,0.9994,0.33,7,0.28,0.043,8.8,14.6,3.34
1406,0.82,170,51,1.0004,0.38,8.4,0.2,0.055,8.9,11.8,3.34
1407,0.46,197,32,1.0002,0.31,7.3,0.18,0.055,9,17.3,3.13
1408,0.46,147,58,0.9922,0.08,6.7,0.31,0.038,10,1.3,3.18
1409,0.47,159,21,0.9948,0.39,7.2,0.15,0.043,10,1.8,3.52
1410,0.45,160,37,0.9924,0.46,6.8,0.18,0.064,11.1,1.4,3.37
1411,0.66,84,22,0.994,0.39,6.9,0.19,0.028,10.8,8,3.11
1412,0.36,71,14,0.993,0.3,9,0.55,0.026,11.8,8.1,2.94
1413,0.46,136,12,0.9922,0.34,7,0.2,0.049,11.6,2.1,3.25
1414,0.67,133,38,0.9979,0.22,6.6,0.32,0.046,10.4,16.7,3.22
1415,0.42,142,46,0.9928,0.28,6.3,0.21,0.051,10.1,1.5,3.23
1416,0.53,215,45,0.9965,0.39,7.6,0.34,0.04,9.2,7.6,3.11
1417,0.42,149,44,0.9948,0.71,7.5,0.3,0.16,8.9,1.3,3.08
1418,0.45,180,51,0.9958,0.15,6.9,0.32,0.046,8.9,8.1,3.13
1419,0.45,150,33,0.9962,0.34,8.9,0.21,0.037,9.7,7.1,3.1
1420,0.47,160,32,0.9944,0.26,7.6,0.29,0.042,10.7,6.5,3.14
1421,0.54,101,29,0.9916,0.2,6.5,0.25,0.024,10.8,1.4,3.24
1422,0.47,160,32,0.9944,0.26,7.6,0.29,0.042,10.7,6.5,3.14
1423,0.44,104,22,0.9949,0.27,5.5,0.14,0.029,9,4.6,3.34
1424,0.38,71,11,0.9926,0.35,8.7,0.24,0.042,10.6,0.6,3.08
1425,0.44,104,22,0.9949,0.27,5.5,0.14,0.029,9,4.6,3.34
1426,0.45,104,22,0.9948,0.27,5.6,0.13,0.028,9.2,4.8,3.34
1427,0.55,123,15,0.9997,0.38,11.8,0.23,0.034,9.7,11.1,2.93
1428,0.36,146,41,1.0001,0.27,6.8,0.21,0.042,8.7,18.15,3.3
1429,0.38,101,19,0.9918,0.29,8.6,0.485,0.026,12.4,4.1,3.01
1430,0.56,223,58,0.9969,0.44,6.8,0.28,0.04,9.5,11.5,3.22
1431,0.4,96,23,0.9925,0.33,6.7,0.23,0.036,10.8,1.8,3.32
1432,0.51,173,25,0.9948,0.3,7.3,0.34,0.057,9.1,1.3,3.26
1433,0.67,124,10,0.9948,0.32,6.8,0.36,0.039,9.6,1.6,3.3
1434,0.72,119,25,0.9931,0.3,5.9,0.17,0.042,10.5,1.4,3.68
1435,0.34,119,25,0.9962,0.32,7.5,0.33,0.036,10.5,11.1,3.15
1436,0.76,150,47,0.9948,0.32,7.9,0.17,0.053,9.6,1.6,3.29
1437,0.58,153,48,0.9942,0.31,8.3,0.17,0.049,9.4,1.5,3.12
1438,0.35,136,22,0.9986,0.53,6.6,0.22,0.052,9.4,15.1,2.94
1439,0.4,129,5,0.9953,0.34,6.8,0.32,0.05,9.1,6,3.19
1440,0.4,145,31,0.9983,0.33,6.7,0.24,0.046,9.5,12.3,3.36
1441,0.35,163,72,1,0.36,7.4,0.18,0.056,9.1,13.1,3.42
1442,0.46,153,43,0.9951,0.3,6,0.16,0.043,10.6,6.7,3.63
1443,0.49,237,28,0.9981,0.3,6.2,0.34,0.047,8.7,11.1,3.18
1444,0.46,153,43,0.9951,0.3,6,0.16,0.043,10.6,6.7,3.63
1445,0.4,129,5,0.9953,0.34,6.8,0.32,0.05,9.1,6,3.19
1446,0.56,117,26,0.993,0.32,7.7,0.26,0.04,10.8,1.2,3.21
1447,0.42,126,18,0.9914,0.32,6.4,0.2,0.041,12,3.1,3.43
1448,0.39,122,14,0.9941,0.36,8,0.16,0.033,10.3,1.5,3.2
1449,0.38,154,47,0.9967,0.27,6.8,0.25,0.076,9,10.7,3.05
1450,0.58,109,36,0.9918,0.28,7.7,0.39,0.035,12.2,4.9,3.19
1451,0.38,158,49,0.9998,0.32,7.1,0.22,0.056,9.6,16.9,3.37
1452,0.68,162,22,0.9914,0.27,8.3,0.24,0.03,11.9,2.1,2.99
1453,0.31,102,19,0.994,0.32,5.5,0.24,0.06,10.4,8.7,3.27
1454,0.5,117,31,0.9998,0.35,7.7,0.28,0.056,9.6,15.3,3.27
1455,0.5,117,31,0.9998,0.35,7.7,0.28,0.056,9.6,15.3,3.27
1456,0.74,89,18,0.9924,0.32,6.5,0.14,0.037,11.5,2.7,3.4
1457,0.54,142,20,0.9962,0.2,6.4,0.29,0.04,10.6,15.6,3.1
1458,0.39,105,12,0.9972,0.64,7.1,0.33,0.056,9.2,13.2,3.05
1459,0.46,99,31,0.9921,0.34,6.8,0.24,0.038,11.8,5.1,3.24
1460,0.5,117,31,0.9998,0.35,7.7,0.28,0.056,9.6,15.3,3.27
1461,0.45,91,23,0.9941,0.39,7.5,0.18,0.054,10.3,1.9,3.27
1462,0.46,181,33,0.9962,0.33,7.8,0.29,0.035,10.7,8.75,3.11
1463,0.33,92,31,0.9922,0.27,8.5,0.25,0.031,12,4.7,3.01
1464,0.46,79,29,0.99,0.28,6.8,0.37,0.03,12.4,4,3.23
1465,0.49,229,48.5,0.9986,0.3,7.4,0.19,0.053,9.1,12.8,3.14
1466,0.49,229,48.5,0.9986,0.3,7.4,0.19,0.053,9.1,12.8,3.14
1467,0.49,229,48.5,0.9986,0.3,7.4,0.19,0.053,9.1,12.8,3.14
1468,0.37,117,11,0.996,0.13,6.9,0.32,0.042,9.2,7.8,3.23
1469,0.54,163,43,0.9999,0.58,7.6,0.32,0.05,9.2,16.75,3.15
1470,0.49,212,48.5,0.9986,0.3,7.4,0.19,0.053,9.1,12.8,3.14
1471,0.44,126,23,0.9951,0.24,6,0.34,0.06,9,5.4,3.25
1472,0.54,163,43,0.9999,0.58,7.6,0.32,0.05,9.2,16.75,3.15
1473,0.55,106,33,0.993,0.31,7.7,0.24,0.047,10.8,1.3,3.22
1474,0.4,114,30,0.992,0.25,7.4,0.29,0.044,11,3.8,3.11
1475,0.44,94,24,0.997,0.31,7.5,0.18,0.051,9.5,11.7,3.19
1476,0.42,137,13,0.9935,0.18,6.8,0.25,0.056,9.5,1.4,3.11
1477,0.51,110,29,0.9912,0.42,7.6,0.27,0.044,12.7,2.6,3.31
1478,0.51,153,31,0.9966,0.41,7.9,0.28,0.058,9.7,4.9,3.27
1479,0.42,137,13,0.9935,0.18,6.8,0.25,0.056,9.5,1.4,3.11
1480,0.37,101,26,0.99,0.29,7.3,0.18,0.036,11.7,1,3.09
1481,0.52,231,77,0.9966,0.42,6.6,0.25,0.049,9.5,11.3,3.24
1482,0.53,157,31,0.9962,0.23,6.4,0.24,0.069,9.1,7.3,3.25
1483,0.55,167,14,0.994,0.38,7.8,0.24,0.058,9.9,2.1,3.21
1484,0.56,175,19,0.9944,0.33,7.6,0.27,0.059,9.9,2,3.22
1485,0.6,178,35,0.9974,0.34,7.7,0.39,0.056,10.2,10,3.26
1486,0.37,132,16,0.996,0.33,8.9,0.24,0.035,12.1,15.75,3
1487,0.64,138,36,0.9922,0.24,6.6,0.23,0.045,11.3,3.9,3.15
1488,0.64,125,24,0.9918,0.35,7,0.32,0.039,12.2,1.5,3.17
1489,0.49,128,13,0.9917,0.3,7.1,0.26,0.031,11.4,2,3.19
1490,0.38,129,18,0.9928,0.38,8.1,0.25,0.051,11.5,3.8,3.21
1491,0.46,177,60,0.9983,0.58,7.7,0.28,0.046,8.9,12.1,3.08
1492,0.46,179,64,0.9982,0.61,7.7,0.27,0.046,8.9,12,3.07
1493,0.46,147,10,0.9974,0.42,6.9,0.44,0.048,9.5,8.5,3.32
1494,0.44,151,39,0.99471,0.29,6.1,0.15,0.046,10.6,6.2,3.6
1495,0.49,180,41,0.99644,0.18,7.2,0.29,0.042,9.1,8.2,3.16
1496,0.5,184,48,0.99579,0.19,7.1,0.28,0.04,9.4,7.8,3.16
1497,0.54,169,49,0.99699,0.45,6.1,0.23,0.094,8.8,10.6,3.05
1498,0.74,171,52,0.99758,0.42,6.7,0.23,0.047,10.4,11.2,3.54
1499,0.6,101,34,0.99384,0.29,7.4,0.18,0.042,10.5,1.4,3.54
1500,0.52,174,51,0.99582,0.2,7.2,0.29,0.046,9.5,7.7,3.16
1501,0.68,128,24,0.99212,0.35,7.1,0.14,0.039,10.4,1.4,2.97
1502,0.53,132,34,0.99449,0.54,7.2,0.39,0.157,9,1.4,3.11
1503,0.48,159,49,0.99827,0.21,6.9,0.3,0.056,9,15.7,3.11
1504,0.48,159,49,0.99827,0.21,6.9,0.3,0.056,9,15.7,3.11
1505,0.43,167,20,0.99479,0.32,9.4,0.42,0.027,10.6,6.5,3.08
1506,0.4,152,35,0.99642,0.3,6.3,0.2,0.034,8.5,5.9,3.47
1507,0.66,107,41,0.99382,0.25,7.3,0.19,0.051,10.5,1.4,3.53
1508,0.46,156,50,0.99784,0.26,6.7,0.25,0.06,9.9,13.5,3.39
1509,0.42,108,28,0.99486,0.28,6.2,0.25,0.035,10.4,8.5,3.4
1510,0.49,178,47,0.99838,0.26,7.5,0.29,0.067,9.2,14.95,3.04
1511,0.56,149,45,0.99468,0.52,7.1,0.4,0.148,8.7,1.3,3.08
1512,0.54,77,20,0.9933,0.25,6.4,0.16,0.047,10.2,1.3,3.61
1513,0.68,210,67,0.99907,0.26,7.4,0.33,0.049,9.5,15.6,3.06
1514,0.68,210,67,0.99907,0.26,7.4,0.33,0.049,9.5,15.6,3.06
1515,0.64,106,21,0.99383,0.24,7.4,0.18,0.047,10.5,1.4,3.52
1516,0.46,208,39,0.99272,0.23,6.5,0.32,0.054,9.9,1.2,3.18
1517,0.54,109,23,0.99018,0.18,6.3,0.41,0.027,12.8,3.5,3.34
1518,0.44,125,28,0.99084,0.33,7.3,0.3,0.043,12.6,2.3,3.34
1519,0.45,125,25,0.99856,0.28,6.6,0.22,0.058,9.4,12.05,3.45
1520,0.42,143,40,0.99173,0.3,7,0.36,0.04,12.2,5,3.33
1521,0.49,139,36,0.99534,0.3,9.4,0.28,0.045,9.3,1.6,3.11
1522,0.5,126,11,0.99232,0.34,8.1,0.28,0.035,9.8,1.3,3.14
1523,0.41,132,44,0.99078,0.26,7,0.22,0.036,12,2.8,3.34
1524,0.49,139,36,0.99534,0.3,9.4,0.28,0.045,9.3,1.6,3.11
1525,0.63,80,15,0.99061,0.3,6.8,0.32,0.029,12.6,3.3,3.33
1526,0.55,178,11,0.99426,0,4.6,0.445,0.053,10.2,1.4,3.79
1527,0.48,190,54,0.99595,0.21,6.9,0.3,0.045,9.4,7.2,3.22
1528,0.36,119,7,0.99297,0.17,7,0.35,0.049,9.7,1.1,3.13
1529,0.29,111,22,0.99687,0.55,6.9,0.35,0.038,9.7,11.95,3.11
1530,0.29,111,22,0.99687,0.55,6.9,0.35,0.038,9.7,11.95,3.11
1531,0.53,175,29,0.99445,0.4,7.6,0.3,0.054,9.8,2.2,3.19
1532,0.6,106,64,0.98993,0.28,6.8,0.37,0.024,12.6,1.9,3.45
1533,0.43,212,128,1.00241,0.35,7.5,0.23,0.058,8.9,17.8,3.44
1534,0.62,167,40,0.99756,0.3,7.2,0.34,0.051,9.7,8.4,3.48
1535,0.55,90,21,0.99509,0.26,7,0.23,0.041,9.5,7.2,3.22
1536,0.59,156,27,0.99572,0.29,7.7,0.29,0.06,10.3,4.8,3.49
1537,0.62,167,40,0.99756,0.3,7.2,0.34,0.051,9.7,8.4,3.48
1538,0.52,149,39,0.99254,0.27,6.7,0.17,0.032,10.5,1.4,3.4
1539,0.62,184,19,0.99782,0.4,7.9,0.46,0.168,9.5,10.1,3.06
1540,0.46,126,36,0.99353,0.16,6.1,0.28,0.06,8.7,1.3,3.13
1541,0.45,130,14,0.9918,0.33,7.6,0.48,0.024,12.5,7,3.25
1542,0.37,93,20,0.99244,0.37,8.9,0.21,0.028,11.5,1.2,3.2
1543,0.52,227,40,0.99679,0.44,7.4,0.33,0.05,9,7.6,3.12
1544,0.37,169,70,0.99698,0.3,7.4,0.34,0.037,10.4,14.9,3.25
1545,0.49,107,25,0.99511,0.24,6.3,0.1,0.039,10.5,6,3.59
1546,0.43,202,47,0.99582,0.73,6.2,0.45,0.099,9.2,7.2,3.21
1547,0.43,150,41,0.99168,0.29,7,0.32,0.036,12.2,4.9,3.38
1548,0.51,282,52.5,1.00098,0.56,9.4,0.23,0.063,9.3,16.45,3.1
1549,0.53,74,26,0.9929,0.29,6.7,0.26,0.025,11,5.8,3.28
1550,0.46,107,14,0.99347,0.28,6.9,0.15,0.029,10.4,4.4,3.24
1551,0.54,186,24,0.99361,0.3,6.9,0.3,0.053,9.9,1.3,3.29
1552,0.5,130,34,0.9925,0.26,7,0.28,0.042,10.7,1.7,3.43
1553,0.49,135,42,0.9938,0.34,6.4,0.17,0.091,9.6,1.5,3.25
1554,0.59,199,28,0.9961,0.29,7,0.27,0.059,10.3,3.9,3.54
1555,0.57,77,17,0.99319,0.24,6.1,0.16,0.046,10.3,1.4,3.66
1556,0.66,104,16,0.99517,0.42,9.2,0.19,0.047,10,2,3.09
1557,0.98,125,19,0.99166,0.36,8.8,0.33,0.034,12.7,2.1,2.96
1558,0.67,130,23,0.99587,0.46,9.8,0.16,0.046,9.6,1.8,3.04
1559,0.49,188,59,0.99558,0.18,6.6,0.23,0.044,9.5,8.5,3.16
1560,0.5,214,44,0.99741,0.1,7.5,0.705,0.044,9.1,13,3.1
1561,0.5,208,50,1.00051,0.25,8,0.27,0.045,9.2,19.1,3.05
1562,0.64,111,23,0.99405,0.28,7.1,0.21,0.034,10.2,2.7,3.35
1563,0.5,106,23,0.99397,0.3,8.2,0.24,0.05,10,2.3,2.98
1564,0.58,220,30,0.99622,0.26,7,0.16,0.047,10.1,6.85,3.38
1565,0.68,117,17,0.99411,0.29,7.2,0.24,0.036,10.1,3,3.36
1566,0.47,198,60,0.99578,0.17,6.4,0.27,0.044,9.4,8.4,3.21
1567,0.43,183,29,0.99594,0.28,6.9,0.43,0.056,9.4,9.4,3.17
1568,0.5,150,34,0.99437,0.28,8,0.26,0.05,10,4.8,3.13
1569,0.43,183,29,0.99594,0.28,6.9,0.43,0.056,9.4,9.4,3.17
1570,0.75,130,36,0.9979,0.37,7.3,0.27,0.042,9.9,9.7,3.48
1571,0.6,219.5,40,0.99316,0.33,6.6,0.32,0.052,10,2.5,3.15
1572,0.61,210,40.5,0.99314,0.34,6.6,0.34,0.051,10,2.6,3.15
